entry,name
1164,Sam's Tome
1175,A Gold Tooth
1114,Conjured Rye
1133,Horn of the Winter Wolf
1130,Vial of Spider Venom
1181,Scroll of Spirit
1132,Horn of the Timber Wolf
1082,Redridge Goulash
1134,Horn of the Gray Wolf
1155,Rod of the Sleepwalker
1179,Ice Cold Milk
1197,Giant Mace
1159,Militia Quarterstaff
1172,Grayson's Torch
1171,Well-stitched Robe
1202,Wall Shield
1127,Flash Bundle
1207,Murphstar
1182,Brass-studded Bracers
1173,Weather-worn Boots
1183,Elastic Wristguards
1189,Overseer's Ring
1154,Belt of the People's Militia
1187,Spiked Collar
1198,Claymore
1161,Militia Shortsword
1196,Tabar
1206,Moss Agate
1169,Blackskull Shield
1194,Bastard Sword
981,Bernice's Necklace
1204,The Green Tower
1190,Overseer's Cloak
1201,Dull Heater Shield
1195,Kobold Mining Shovel
1121,Feet of the Lynx
1191,Bag of Marbles
1131,Totem of Infliction
1178,Explosive Rocket
1203,Aegis of Stormwind
1177,Oil of Olaf
1208,Maybell's Love Letter
1205,Melon Juice
1015,Lean Wolf Flank
1180,Scroll of Stamina
1200,Large Wooden Shield
1215,Support Girdle
1213,Gnoll Kindred Bracers
1212,Gnoll Spittle
1216,Frost Bracers
1218,Heavy Gnoll War Club
1273,Forest Chain
1220,Lupine Axe
1211,Gnoll War Harness
1221,Underbelly Whelp Scale
1222,Broken Tooth
1260,Tharil'zun's Head
1257,Invisibility Liquor
1265,Scorpion Sting
1254,Lesser Firestone
1282,Sparkmetal Coif
1275,Deputy Chain Coat
1210,Shadowgem
1262,Keg of Thunderbrew
1214,Gnoll Punisher
1276,Fire Hardened Buckler
1294,The General's Response
1264,Headbasher
1274,Hops
1252,Gramma Stonefield's Note
1280,Cloaked Hood
1293,The State of Lakeshire
1261,Midnight Orb
1287,Giant Tarantula Fang
1299,Lesser Belt of the Spire
1300,Lesser Staff of the Spire
1270,Finely Woven Cloak
1283,Verner's Note
1297,Robes of the Shadowcaster
1302,Black Whelp Gloves
1306,Wolfmane Wristguards
1251,Linen Bandage
1288,Large Venom Sac
1292,Butcher's Cleaver
1296,Blackrock Mace
1256,Crystal Kelp Frond
1217,Unknown Reward
1263,Brain Hacker
1284,Crate of Horseshoes
1303,Bridgeworker's Gloves
1317,Hardened Root Staff
1219,Redridge Machete
1327,Wiley's Note
1351,Fingerbone Bracers
1318,Night Reaver
1309,Oslow's Toolbox
1314,Ghoul Fingers
1364,Ragged Leather Vest
1326,Sauteed Sunfish
1359,Lion-stamped Gloves
1352,Cracked Skull Mortar
1349,Abercrombie's Crate
1362,Final Clue to Sander's Treasure
1304,Riding Gloves
1322,Fishliver Oil
1358,A Clue to Sander's Treasure
1315,Lei of Lilies
1353,Shaw's Report
1361,Another Clue to Sander's Treasure
1356,Commendation - Elwynn Forest
1367,Ragged Leather Boots
1380,Frayed Robe
1325,Daffodil Bouquet
1382,Rock Mace
1366,Ragged Leather Pants
1369,Ragged Leather Belt
1355,Buckskin Cape
1310,Smith's Trousers
1307,Gold Pickup Schedule
1357,Captain Sander's Treasure Map
1360,Stormwind Chain Gloves
1389,Kobold Mining Mallet
1319,Ring of Iron Will
1396,Acolyte's Pants
1407,Solomon's Plea to Westfall
1404,Tidal Charm
1406,Pearl-encrusted Spear
1383,Stone Tomahawk
1370,Ragged Leather Bracers
1384,Dull Blade
1368,Ragged Leather Gloves
1376,Frayed Cloak
1387,Ghoulfang
1381,A Mysterious Message
1372,Ragged Cloak
1378,Frayed Pants
1386,Thistlewood Axe
1374,Frayed Shoes
1377,Frayed Gloves
1391,Riverpaw Mystic Staff
1401,Green Tea Leaf
1395,Apprentice's Pants
1388,Crooked Staff
1399,Magic Candle
1405,Foamspittle Staff
1394,Driftwood Club
1414,Cracked Sledge
1409,Solomon's Plea to Darkshire
1423,Worn Leather Pants
1410,Ebonlocke's Response to Solomon
1411,Withered Staff
1419,Worn Leather Boots
1408,Stoutmantle's Response to Solomon
1421,Worn Hide Cloak
1420,Worn Leather Bracers
1412,Crude Bastard Sword
1415,Carpenter's Mallet
1418,Worn Leather Belt
1429,Patchwork Cloak
1427,Patchwork Shoes
1445,Blackrock Pauldrons
1443,Jeweled Amulet of Cainwyn
1425,Worn Leather Vest
1417,Beaten Battle Axe
1431,Patchwork Pants
1449,Minor Channeling Ring
1434,Glowing Wax Stick
1416,Rusty Hatchet
1440,Gnoll Skull Basher
1447,Ring of Saviors
1422,Worn Leather Gloves
1453,Spectral Comb
1438,Warrior's Shield
1430,Patchwork Gloves
1436,Frontier Britches
1413,Feeble Sword
1446,Blackrock Boots
1454,Axe of the Enforcer
1433,Patchwork Armor
1465,Tigerbane
1458,Shadowhide Maul
1462,Ring of the Shadow
1457,Shadowhide Mace
1464,Buzzard Talon
1459,Shadowhide Scalper
1478,Scroll of Protection II
1450,Potion of Fervor
1470,Murloc Skin Bag
1476,Snapped Spider Limb
1473,Riverside Staff
1448,Blackrock Gauntlets
1480,Fist of the People's Militia
1461,Slayer's Battle Axe
1460,Shadowhide Two-handed Sword
1469,Scimitar of Atun
1484,Witching Stave
1479,Salma's Oven Mitts
1486,Tree Bark Jacket
1451,Bottle of Zombie Juice
1475,Small Venom Sac
1455,Blackrock Champion's Axe
1488,Avenger's Armor
1483,Face Smasher
1490,Guardian Talisman
1467,Spotted Sunfish
1491,Ring of Precision
1495,Calico Shoes
1481,Grimclaw
1468,Murloc Fin
1501,Calico Tunic
1499,Calico Pants
1498,Calico Gloves
1482,Shadowfang
1485,Pitchfork
1493,Heavy Marauder Scimitar
1497,Calico Cloak
1489,Gloomshroud Armor
1514,Rusty Warhammer
1477,Scroll of Agility II
1510,Heavy Hammer
1513,Old Greatsword
1505,Warped Cloak
1487,Conjured Pumpernickel
1512,Crude Battle Axe
1515,Rough Wooden Staff
1524,Skullsplitter Tusk
1522,Headhunting Spear
1509,Warped Leather Vest
1511,Commoner's Sword
1506,Warped Leather Gloves
1519,Bloodscalp Ear
1532,Shrunken Head
1502,Warped Leather Belt
1503,Warped Leather Boots
1547,Shield of the Faith
1504,Warped Leather Bracers
1516,Worn Hatchet
1520,Troll Sweat
1539,Gnarled Hermit's Staff
1521,Lumbering Ogre Axe
1518,Ghost Hair Comb
1523,Huge Stone Club
1528,Handful of Oats
1507,Warped Leather Pants
1537,Old Blanchy's Feed Pouch
1529,Jade
1608,Skullcrusher Mace
1637,Letter to Ello
1624,Skullsplitter Helm
1602,Sickle Axe
1566,Edge of the People's Militia
1596,Ghost Hair Thread
1640,Monstrous War Axe
1557,Buckler of the Seas
1625,Exquisite Flamberge
1604,Chromatic Sword
1561,Harvester's Robe
1678,Black Ogre Kickers
1652,Sturdy Lunchbox
1630,Broken Electro-lantern
1607,Soulkeeper
1598,Rot Blossom
1645,Moonberry Juice
1697,Keen Raptor Tooth
1685,Troll-hide Bag
1701,Curved Basilisk Claw
1680,Headchopper
1659,Engineering Gloves
1679,Korg Bat
1639,Grinning Axe
1686,Bristly Whisker
1677,Drake-scale Vest
1707,Stormwind Brie
1705,Lesser Moonstone
1656,Translated Letter
1702,Intact Basilisk Spine
1706,Azuredeep Shards
1696,Curved Raptor Talon
1687,Retractable Claw
1613,Spiritchaser Staff
1714,Necklace of Calisea
1703,Crystal Basilisk Spine
1688,Long Soft Tail
1560,Bluegill Sandals
1717,Double Link Tunic
1664,Spellforce Rod
1718,Basilisk Hide Pants
1721,Viking Warhammer
1720,Tanglewood Staff
1737,Worn Mail Vest
1727,Sword of Decay
1711,Scroll of Stamina II
1731,Worn Mail Boots
1735,Worn Mail Pants
1716,Robe of the Magi
1730,Worn Mail Belt
1734,Worn Mail Gloves
1728,Teebu's Blazing Longsword
1738,Laced Mail Belt
1733,Worn Cloak
1712,Scroll of Spirit II
1726,Poison-tipped Bone Spear
1729,Gunnysack of the Night Watch
1722,Thornstone Sledgehammer
1732,Worn Mail Bracers
1739,Laced Mail Boots
1713,Ankh of Life
1746,Linked Chain Belt
1725,Large Knapsack
1710,Greater Healing Potion
1744,Laced Mail Shoulderpads
1752,Linked Chain Shoulderpads
1708,Sweet Nectar
1750,Linked Chain Gloves
1751,Linked Chain Pants
1743,Laced Mail Pants
1740,Laced Mail Bracers
1741,Laced Cloak
1749,Linked Chain Cloak
1748,Linked Chain Bracers
1715,Polished Jazeraint Armor
1747,Linked Chain Boots
1742,Laced Mail Gloves
1745,Laced Mail Vest
1772,Brocade Shoes
1767,Canvas Gloves
1761,Reinforced Chain Vest
1756,Reinforced Chain Bracers
1759,Reinforced Chain Pants
1768,Canvas Pants
1758,Reinforced Chain Gloves
1755,Reinforced Chain Boots
1778,Brocade Vest
1753,Linked Chain Vest
1774,Brocade Cloak
1766,Canvas Cloak
1754,Reinforced Chain Belt
1775,Brocade Gloves
1780,Cross-stitched Sandals
1770,Canvas Vest
1757,Reinforced Chain Cloak
1769,Canvas Shoulderpads
1760,Reinforced Chain Shoulderpads
1764,Canvas Shoes
1777,Brocade Shoulderpads
1776,Brocade Pants
1789,Patched Leather Bracers
1796,Rawhide Boots
1800,Rawhide Pants
1782,Cross-stitched Cloak
1790,Patched Cloak
1791,Patched Leather Gloves
1784,Cross-stitched Pants
1799,Rawhide Gloves
1801,Rawhide Shoulderpads
1803,Tough Leather Belt
1797,Rawhide Bracers
1795,Rawhide Belt
1785,Cross-stitched Shoulderpads
1805,Tough Leather Bracers
1804,Tough Leather Boots
1809,Tough Leather Shoulderpads
1810,Tough Leather Armor
1807,Tough Leather Gloves
1812,Short-handled Battle Axe
1792,Patched Leather Pants
1817,Stock Shortsword
1811,Blunt Claymore
1818,Standard Claymore
1815,Ornamental Mace
1814,Battered Mallet
1802,Rawhide Tunic
1787,Patched Leather Belt
1793,Patched Leather Shoulderpads
1816,Unbalanced Axe
1794,Patched Leather Jerkin
1798,Rawhide Cloak
1806,Tough Cloak
1822,Cedar Walking Stick
1786,Cross-stitched Vest
1819,Gouging Pick
1788,Patched Leather Boots
1823,Bludgeoning Cudgel
1821,Warped Blade
1813,Chipped Quarterstaff
1783,Cross-stitched Gloves
1820,Wooden Maul
1808,Tough Leather Pants
1826,Rock Maul
1829,Short Cutlass
1825,Bulky Bludgeon
1824,Shiny War Axe
1840,Rough Leather Bracers
1830,Long Bastard Sword
1831,Oaken War Staff
1836,Dirty Leather Bracers
1843,Tanned Leather Belt
1832,Lucky Trousers
1846,Chainmail Bracers
1851,Cleansing Water
1844,Tanned Leather Bracers
1852,Scalemail Bracers
1875,Thistlenettle's Badge
1849,Cured Leather Belt
1853,Scalemail Belt
1845,Chainmail Belt
1894,Miners' Union Card
1835,Dirty Leather Belt
1839,Rough Leather Belt
1913,Studded Blackjack
1917,Jeweled Dagger
1828,Stone War Axe
1926,Weighted Sap
1850,Cured Leather Bracers
1931,Huge Gnoll Claw
1925,Defias Rapier
1923,Ambassador's Satchel
1893,Miner's Revenge
1922,Supplies for Sven
1933,Staff of Conjuring
1937,Buzz Saw
1935,Assassin's Blade
1943,Goblin Mail Leggings
1945,Woodworking Gloves
1930,Stonemason Cloak
1946,Mary's Looking Glass
1942,Bottle of Moonshine
1927,Deadmines Cleaver
1936,Goblin Screwdriver
1934,Stonemason Trousers
1929,Silk-threaded Trousers
1928,Defias Mage Staff
1941,Cask of Merlot
1939,Skin of Sweet Rum
1944,Metalworking Gloves
1827,Meat Cleaver
1958,Petrified Shinbone
1965,White Wolf Gloves
1959,Cold Iron Pick
1951,Blackwater Cutlass
1938,Block Mallet
1955,Dragonmaw Chain Boots
1956,Faded Shadowhide Pendant
1962,Glowing Shadowhide Pendant
1970,Restoring Balm
1968,Ogre's Monocle
1971,Furlbrow's Deed
1976,Slaghammer
1988,Chief Brigadier Gauntlets
1974,Mindthrust Bracers
1979,Wall of the Dead
1987,Krazek's Fixed Pot
1972,Westfall Deed
1980,Underworld Band
1982,Nightblade
2006,The Second Troll Legend
1992,Swampchill Fetish
1993,Ogremind Ring
1996,Voodoo Band
1973,Orb of Deception
2011,Twisted Sabre
1990,Ballast Maul
1986,Gutrender
1975,Pysan's Old Greatsword
2013,Cryptbone Staff
1991,Goblin Power Shovel
2016,Dusty Chain Armor
1997,Pressed Felt Robe
2018,Skeletal Longsword
2015,Black Metal War Axe
1994,Ebonclaw Reaver
2025,Bearded Axe
2024,Espadon
1978,Wolfclaw Gloves
2017,Glowing Leather Bracers
2014,Black Metal Greatsword
1998,Bloodscalp Channeling Staff
2005,The First Troll Legend
2007,The Third Troll Legend
2000,Archeus
2004,Grelin Whitebeard's Journal
2020,Hollowfang Blade
2008,The Fourth Troll Legend
2026,Rock Hammer
2029,Cleaver
1981,Icemail Jerkin
2032,Gallan Cuffs
2042,Staff of Westfall
2021,Green Carapace Shield
2035,Sword of the Night Sky
2036,Dusty Mining Gloves
2041,Tunic of Westfall
2039,Plains Ring
2028,Hammer
2043,Ring of Forlorn Spirits
2054,Trogg Hand Axe
2027,Scimitar
2040,Troll Protector
2048,Anvilmar Hammer
2037,Tunneler's Boots
2034,Scholarly Robes
2057,Pitted Defias Shortsword
2030,Gnarled Staff
2059,Sentry Cloak
2033,Ambassador's Boots
2044,Crescent of Forlorn Spirits
2074,Solid Shortblade
2073,Dwarven Hatchet
2047,Anvilmar Hand Axe
2055,Small Wooden Hammer
2070,Darnassian Bleu
2069,Black Bear Hide Vest
2078,Northern Shortsword
2064,Trogg Club
2066,Skull Hatchet
2082,Wizbang's Gunnysack
2056,The Velvet Hammer
2079,Sergeant's Warhammer
2067,Frostbit Staff
2046,Bluegill Kukri
2084,Darksteel Bastard Sword
2077,Magician Staff
2092,Worn Dagger
2058,Kazon's Maul
2075,Priest's Mace
2072,Dwarven Magestaff
2100,Precisely Calibrated Boomstick
2099,Dwarven Hand Cannon
2080,Hillborne Axe
2098,Double-barreled Shotgun
2085,Chunk of Flesh
2101,Light Quiver
2105,Thug Shirt
2108,Frostmane Leather Vest
2109,Frostmane Chain Vest
2091,Magic Dust
2088,Long Crawler Limb
2087,Hard Crawler Carapace
2117,Thin Cloth Shoes
2102,Small Ammo Pouch
2089,Scrimshaw Dagger
2065,Rockjaw Blade
2114,Snowy Robe
2110,Light Magesmith Robe
2113,Calor's Note
2112,Lumberjack Jerkin
2122,Cracked Leather Belt
2120,Thin Cloth Pants
2138,Sharpened Letter Opener
2119,Thin Cloth Gloves
2123,Cracked Leather Boots
2125,Cracked Leather Gloves
2134,Hand Axe
2124,Cracked Leather Bracers
2129,Large Round Shield
2137,Whittling Knife
2143,Cuirboulli Boots
2121,Thin Cloth Armor
2132,Short Staff
2126,Cracked Leather Pants
2144,Cuirboulli Bracers
2148,Polished Scale Belt
2130,Club
2146,Cuirboulli Pants
2127,Cracked Leather Vest
2131,Shortsword
2145,Cuirboulli Gloves
2153,Polished Scale Vest
2141,Cuirboulli Vest
2149,Polished Scale Boots
2140,Carving Knife
2142,Cuirboulli Belt
2165,Old Blanchy's Blanket
2151,Polished Scale Gloves
2163,Shadowblade
2161,Book from Sven's Farm
2139,Dirk
2152,Polished Scale Leggings
2158,Padded Gloves
2136,Conjured Purified Water
2160,Padded Armor
2173,Old Leather Belt
2159,Padded Pants
2154,The Story of Morgan Ladimore
2164,Gut Ripper
2162,Sarah's Ring
2205,Duskbringer
2207,Jambiya
2167,Foreman's Gloves
2169,Buzzer Blade
2166,Foreman's Leggings
2211,Bent Large Shield
2203,Brashclaw's Chopper
2213,Worn Large Shield
2212,Cracked Buckler
2208,Poniard
2216,Simple Buckler
2195,Anvilmar Knife
2188,A Letter to Grelin Whitebeard
2219,Small Round Shield
2214,Wooden Buckler
2175,Shadowhide Battle Axe
2186,Outfitter Belt
2172,Rustic Belt
2218,Craftsman's Dagger
2194,Diamond Hammer
2210,Battered Buckler
2225,Sharp Kitchen Knife
2215,Wooden Shield
2231,Inferno Robe
2220,Box Shield
2217,Rectangular Shield
2237,Patched Pants
2223,The Collector's Schedule
2236,Blackfang
2209,Kris
2233,Shadow Weaver Leggings
2224,Militia Dagger
2221,Targe Shield
2227,Heavy Ogre War Axe
2222,Tower Shield
2230,Gloves of Brawn
2226,Ogremage Staff
2232,Dark Runner Boots
2235,Brackclaw
2150,Polished Scale Bracers
2156,Padded Boots
2168,Foreman's Boots
2234,Nightwalker Armor
2204,Brashclaw's Skewer
2187,A Stack of Letters
2238,Urchin's Pants
2252,Miscellaneous Goblin Supplies
2251,Gooey Spider Leg
2241,Desperado Cape
2246,Myrmidon's Signet
2250,Dusky Crab Cakes
2244,Krol Blade
2240,Rugged Cape
2245,Helm of Narv
2254,Icepane Warhammer
2243,Hand of Edward the Odd
2256,Skeletal Club
2239,The Collector's Ring
2249,Militia Buckler
2257,Frostmane Staff
2259,Frostmane Club
2263,Phytoblade
2265,Stonesplinter Axe
2260,Frostmane Hand Axe
2276,Swampwalker Boots
2273,Guerrilla Armor
2258,Frostmane Shortsword
2267,Stonesplinter Mace
2268,Stonesplinter Blade
2278,Forest Tracker Epaulets
2264,Mantle of Thieves
2274,Sapper's Gloves
2262,Mark of Kern
2271,Staff of the Blessed Seer
2266,Stonesplinter Dagger
2282,Rodentia Shortsword
2281,Rodentia Flint Axe
2277,Necromancer Leggings
2280,Kam's Walking Stick
2289,Scroll of Strength II
2291,Kang the Decapitator
2295,Large Boar Tusk
2284,Rat Cloth Cloak
2290,Scroll of Intellect II
2299,Burning War Axe
2296,Great Goretusk Snout
2287,Haunch of Meat
2288,Conjured Fresh Water
2283,Rat Cloth Belt
2309,Embossed Leather Boots
2307,Fine Leather Boots
2302,Handstitched Leather Boots
2308,Fine Leather Cloak
2304,Light Armor Kit
2292,Necrology Robes
2300,Embossed Leather Vest
2310,Embossed Leather Cloak
2316,Dark Leather Cloak
2303,Handstitched Leather Pants
2317,Dark Leather Tunic
2318,Light Leather
2312,Fine Leather Gloves
2313,Medium Armor Kit
2320,Coarse Thread
2319,Medium Leather
2314,Toughened Leather Armor
2324,Bleach
2326,Ivy-weave Bracers
2367,Woven Boots
2311,White Leather Jerkin
2315,Dark Leather Boots
2325,Black Dye
2366,Woven Pants
2361,Battleworn Hammer
2371,Battered Leather Belt
2376,Worn Heater Shield
2362,Worn Wooden Shield
2375,Battered Leather Gloves
2373,Battered Leather Boots
2321,Fine Thread
2327,Sturdy Leather Bracers
2372,Battered Leather Pants
2382,The Embalmer's Heart
2378,Skeleton Finger
2385,Tarnished Chain Gloves
2369,Woven Gloves
2374,Battered Leather Bracers
2383,Tarnished Chain Boots
2364,Woven Vest
2370,Battered Leather Harness
2390,Rusted Chain Bracers
2379,Tarnished Chain Vest
2384,Tarnished Chain Bracers
2397,Light Mail Gloves
2386,Rusted Chain Vest
2396,Light Mail Bracers
2387,Rusted Chain Belt
2394,Light Mail Leggings
2389,Rusted Chain Boots
2401,Light Chain Boots
2388,Rusted Chain Leggings
2380,Tarnished Chain Belt
2393,Light Mail Belt
2398,Light Chain Armor
2400,Light Chain Leggings
2399,Light Chain Belt
2402,Light Chain Bracers
2395,Light Mail Boots
2392,Light Mail Armor
2381,Tarnished Chain Leggings
2391,Rusted Chain Gloves
2409,Pattern: Dark Leather Tunic
2414,Pinto Bridle
2410,Smoky Torch
2406,Pattern: Fine Leather Boots
2411,Black Stallion Bridle
2403,Light Chain Gloves
2407,Pattern: White Leather Jerkin
2408,Pattern: Fine Leather Gloves
2417,Augmented Chain Vest
2418,Augmented Chain Leggings
2424,Brigandine Belt
2428,Brigandine Gloves
2422,Augmented Chain Gloves
2440,Embroidered Gloves
2434,Russet Gloves
2419,Augmented Chain Belt
2426,Brigandine Boots
2435,Embroidered Armor
2450,Briarthorn
2427,Brigandine Bracers
2420,Augmented Chain Boots
2425,Brigandine Leggings
2437,Embroidered Pants
2454,Elixir of Lion's Strength
2456,Minor Rejuvenation Potion
2451,Crested Heater Shield
2438,Embroidered Boots
2449,Earthroot
2457,Elixir of Minor Agility
2423,Brigandine Vest
2446,Kite Shield
2455,Minor Mana Potion
2452,Swiftthistle
2460,Elixir of Tongues (NYI)
2464,Studded Belt
2448,Heavy Pavise
2453,Bruiseweed
2431,Russet Pants
2466,Skullsplitter Fetish
2467,Studded Boots
2469,Studded Gloves
2470,Reinforced Leather Vest
2459,Swiftness Potion
2458,Elixir of Minor Fortitude
2471,Reinforced Leather Belt
2476,Chilled Basilisk Haunch
2429,Russet Vest
2472,Reinforced Leather Pants
2475,Reinforced Leather Gloves
2421,Augmented Chain Bracers
2465,Studded Pants
2477,Ravager's Skull
2473,Reinforced Leather Boots
2480,Large Club
2479,Broad Axe
2490,Tomahawk
2447,Peacebloom
2494,Stiletto
2463,Studded Doublet
2489,Two-handed Sword
2432,Russet Boots
2506,Hornwood Recurve Bow
2468,Studded Bracers
2493,Wooden Mallet
2508,Old Blunderbuss
2495,Walking Stick
2445,Large Metal Shield
2512,Rough Arrow
2474,Reinforced Leather Bracers
2507,Laminated Recurve Bow
2492,Cudgel
2509,Ornate Blunderbuss
2504,Worn Shortbow
2491,Large Axe
2510,Solid Blunderbuss
2519,Heavy Shot
2521,Flamberge
2515,Sharp Arrow
2520,Broadsword
2522,Crescent Axe
2511,Hunter's Boomstick
2516,Light Shot
2524,Truncheon
2488,Gladius
2529,Zweihander
2505,Polished Shortbow
2553,Recipe: Elixir of Minor Agility
2535,War Staff
2523,Bullova
2528,Falchion
2562,Bouquet of Scarlet Begonias
2526,Main Gauche
2547,Boar Handler Gloves
2525,War Hammer
2534,Rondel
2556,Recipe: Elixir of Tongues
2532,Morning Star
2531,Great Axe
2536,Trogg Stone Tooth
2546,Royal Frostmane Girdle
2549,Staff of the Shade
2530,Francisca
2545,Malleable Chain Leggings
2533,War Maul
2561,Chok'sul's Head
2555,Recipe: Swiftness Potion
2560,Jitters' Completed Journal
2527,Battle Staff
2548,Barrel of Barleybrew Scalder
2564,Elven Spirit Claws
2571,Viny Wrappings
